status,count
barcode_unmatch_ambiguous_mapping,204576
barcode_unmatch_mapped_to_intron,1952905
barcode_match,177961400
barcode_unmatch_unaligned,3264760
barcode_unmatch_aligned,217994
barcode_unmatch_mapped_to_exon,6469439
